# Options: --keepunused --dodsnsmt --runsmtanalysistype=binarysearch --smtmultithread=allthreads --smtcalcstats --flowsensitive --hazardsensitiveall --toposortinput
# Format: Benchmark,Trace,Initial-CSs,Initial-Stmts,Initial-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,Init0-CSs,Init0-Stmts,Init0-Vars,Init1-CSs,Init1-Stmts,Init1-Vars,Init2-CSs,Init2-Stmts,Init2-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Time[s]
apache1,203,5,110,57,5,31,14,0,59,35,0,22,16,0,29,19,0,11,6,0,6,9,0,14,12,6.18169403076
apache1,304,6,110,57,5,31,14,0,59,35,0,22,16,0,29,20,0,11,6,0,8,9,0,12,12,7.61542487144
apache1,141,6,110,57,6,28,13,0,59,35,0,19,15,0,32,20,0,11,6,0,5,9,0,12,11,6.73503708839
apache1,346,6,120,61,6,37,16,0,59,35,0,27,19,0,34,22,0,11,6,0,8,9,0,18,14,14.6172609329
apache1,415,4,124,61,4,19,8,0,59,35,0,44,29,0,21,13,0,8,4,0,5,8,0,6,6,5.21014499664
apache1,109,4,110,57,4,16,8,0,59,35,0,17,13,0,34,21,0,6,3,0,4,7,0,6,7,3.07568788528
apache1,142,5,110,57,4,29,13,0,59,35,0,19,15,0,32,20,0,11,6,0,4,8,0,14,11,6.56900596619
apache1,110,4,110,57,4,17,8,0,59,35,0,17,13,0,34,21,0,6,3,0,4,7,0,7,7,4.20198106766
apache1,244,6,120,61,4,17,8,0,59,35,0,26,18,0,35,21,0,6,3,0,5,7,0,6,6,3.33386588097
apache1,49,7,120,61,5,16,8,0,59,35,0,31,21,0,30,21,0,6,3,0,7,8,0,3,6,3.61736989021
apache1,204,5,110,57,5,19,8,0,59,35,0,22,15,0,29,19,0,8,4,0,6,7,0,5,7,5.11776304245
apache1,425,4,120,61,4,19,8,0,59,35,0,40,26,0,21,13,0,8,4,0,5,8,0,6,6,4.69455385208
apache1,394,5,97,53,5,26,13,0,59,35,0,22,15,0,16,15,0,11,6,0,7,9,0,8,10,8.11538696289
apache1,330,8,140,69,4,15,7,0,59,35,0,37,28,0,44,32,0,6,3,0,4,7,0,5,6,3.74845194817
apache1,155,4,110,57,4,29,14,0,59,35,0,17,14,0,34,20,0,11,6,0,5,9,0,13,11,7.20049595833
apache1,292,7,110,57,7,31,14,0,59,35,0,22,16,0,29,19,0,11,6,0,9,10,0,11,11,11.1602210999
apache1,339,8,120,61,8,37,17,0,59,35,0,28,20,0,33,21,0,11,6,0,9,11,0,17,13,13.3099930286
apache1,52,3,120,61,3,36,16,0,59,35,0,30,19,0,31,20,0,11,6,0,12,11,0,13,11,18.2921760082
apache1,335,8,140,69,4,15,7,0,59,35,0,37,28,0,44,32,0,6,3,0,4,7,0,5,6,3.40850996971
apache1,107,6,110,57,6,28,13,0,59,35,0,17,14,0,34,21,0,11,6,0,5,9,0,12,11,7.35390496254
apache1,414,4,124,61,2,21,9,0,59,35,0,42,30,0,23,16,0,8,4,0,5,7,0,8,7,3.64201498032
apache1,143,4,110,57,4,20,9,0,59,35,0,19,14,0,32,19,0,8,4,0,6,8,0,6,7,4.45320296288
apache1,384,7,110,57,7,27,13,0,59,35,0,30,22,0,21,14,0,11,6,0,10,11,0,6,7,7.57764005661
apache1,71,4,124,61,4,19,9,0,59,35,0,19,14,0,46,29,0,8,4,0,5,7,0,6,8,4.6630461216
apache1,411,4,109,57,4,18,8,0,59,35,0,29,22,0,21,13,0,8,4,0,4,8,0,6,6,4.52793192863
apache1,298,8,110,57,7,31,14,0,59,35,0,21,16,0,30,21,0,11,6,0,7,9,0,13,12,7.83850979805
apache1,422,4,120,61,4,19,8,0,59,35,0,40,26,0,21,13,0,8,4,0,5,8,0,6,6,4.16541981697
apache1,286,5,110,57,5,19,8,0,59,35,0,21,15,0,30,19,0,8,4,0,6,7,0,5,7,4.50030112267
apache1,418,6,110,57,6,29,14,0,59,35,0,28,21,0,23,17,0,11,6,0,12,11,0,6,8,7.53026413918
apache1,185,4,120,61,2,20,9,0,59,35,0,19,15,0,42,26,0,8,4,0,4,6,0,8,8,6.12506604195
apache1,77,5,100,53,5,19,8,0,59,35,0,22,14,0,19,12,0,8,4,0,6,7,0,5,7,5.48861002922
apache1,247,6,109,57,6,33,15,0,59,35,0,16,15,0,34,22,0,11,6,0,6,9,0,16,13,11.6013870239
apache1,234,9,120,61,9,34,15,0,59,35,0,32,23,0,29,21,0,11,6,0,11,12,0,12,12,12.4417891502
apache1,377,6,110,57,5,20,9,0,59,35,0,31,23,0,20,15,0,8,4,0,7,9,0,5,6,4.41107106209
apache1,206,4,120,61,4,16,8,0,59,35,0,21,19,0,40,28,0,6,3,0,5,6,0,5,7,3.15845918655
apache1,216,9,120,61,9,34,15,0,59,35,0,32,23,0,29,21,0,11,6,0,11,12,0,12,11,10.4055249691
apache1,423,4,109,57,4,18,8,0,59,35,0,29,22,0,21,13,0,8,4,0,4,8,0,6,6,4.62902212143
apache1,275,9,140,69,7,20,9,0,59,35,0,40,32,0,41,29,0,8,4,0,6,9,0,6,6,4.74368405342
apache1,207,5,140,69,5,20,9,0,59,35,0,39,30,0,42,29,0,8,4,0,6,8,0,6,7,4.99841403961
apache1,212,7,120,61,5,17,8,0,59,35,0,31,21,0,30,19,0,6,3,0,6,7,0,5,6,3.96931910515
apache1,305,5,97,53,5,26,13,0,59,35,0,22,15,0,16,15,0,11,6,0,7,9,0,8,10,7.13258695602
apache1,306,4,110,57,3,20,9,0,59,35,0,22,16,0,29,19,0,8,4,0,7,8,0,5,7,5.26619291306
apache1,287,6,110,57,5,21,9,0,59,35,0,21,15,0,30,20,0,8,4,0,7,7,0,6,8,4.59379792213
apache1,113,6,120,61,4,15,7,0,59,35,0,19,19,0,42,29,0,6,3,0,4,7,0,5,6,3.12255120277
apache1,214,7,120,61,7,34,15,0,59,35,0,33,23,0,28,18,0,11,6,0,15,14,0,8,9,10.5459849834
apache1,372,3,110,57,3,21,9,0,59,35,0,31,21,0,20,14,0,8,4,0,6,7,0,7,7,2.92206287384
apache1,246,6,120,61,6,36,16,0,59,35,0,27,19,0,34,23,0,11,6,0,8,9,0,17,14,8.47699093819
apache1,159,4,104,55,4,32,14,0,59,35,0,12,13,0,33,20,0,11,6,0,4,9,0,17,12,6.55778694153
apache1,371,6,124,61,6,21,9,0,59,35,0,44,31,0,21,15,0,8,4,0,7,9,0,6,6,3.02408599854
apache1,213,7,120,61,7,35,16,0,59,35,0,32,23,0,29,19,0,11,6,0,15,14,0,9,10,7.20601415634
apache1,342,6,120,61,6,37,16,0,59,35,0,28,19,0,33,21,0,11,6,0,8,9,0,18,14,10.499227047
apache1,296,5,97,53,5,26,13,0,59,35,0,22,15,0,16,15,0,11,6,0,7,9,0,8,10,3.79366183281
apache1,233,6,120,61,6,35,16,0,59,35,0,32,23,0,29,19,0,11,6,0,14,14,0,10,10,7.64312505722
apache1,211,7,120,61,7,37,16,0,59,35,0,33,23,0,28,19,0,11,6,0,16,14,0,10,11,15.910451889
apache1,376,5,110,57,3,18,8,0,59,35,0,32,21,0,19,13,0,8,4,0,7,7,0,3,6,2.99775385857
apache1,112,4,124,61,4,20,9,0,59,35,0,17,14,0,48,31,0,8,4,0,5,7,0,7,8,3.89094805717
