# Options: --keepunused --dodsnsmt --runsmtanalysistype=binarysearch --smtmultithread=allthreads --smtcalcstats --hazardsensitivewaw --toposortinput --nointrathreadhazard
# Format: Benchmark,Trace,Initial-CSs,Initial-Stmts,Initial-Vars,Init0-CSs,Init0-Stmts,Init0-Vars,Init1-CSs,Init1-Stmts,Init1-Vars,Init2-CSs,Init2-Stmts,Init2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Time[s]
apache1,281,4,124,61,0,59,35,0,20,15,0,45,29,3,8,6,0,2,2,0,2,5,0,4,6,0.385053157806
apache1,404,4,94,51,0,59,35,0,13,13,0,22,13,3,7,8,0,2,2,0,1,6,0,4,5,0.315299987793
apache1,367,3,124,61,0,59,35,0,46,31,0,19,14,3,9,6,0,2,2,0,4,6,0,3,6,0.401887178421
apache1,109,4,110,57,0,59,35,0,17,13,0,34,21,4,7,6,0,1,1,0,3,6,0,3,5,0.344314098358
apache1,308,7,124,61,0,59,35,0,21,20,0,44,31,5,8,7,0,2,2,0,2,6,0,4,7,0.386220932007
apache1,295,6,110,57,0,59,35,0,22,16,0,29,20,5,11,9,0,3,3,0,4,7,0,4,8,0.416483879089
apache1,415,4,124,61,0,59,35,0,44,29,0,21,13,4,10,7,0,3,3,0,3,6,0,4,6,0.403017997742
apache1,250,8,140,69,0,59,35,0,36,27,0,45,32,4,7,6,0,1,1,0,3,6,0,3,5,0.38697385788
apache1,207,5,140,69,0,59,35,0,39,30,0,42,29,4,7,6,0,1,1,0,3,5,0,3,6,0.374727964401
apache1,83,3,97,53,0,59,35,0,20,14,0,18,15,2,5,5,0,1,1,0,2,4,0,2,5,0.295081853867
apache1,342,6,120,61,0,59,35,0,28,19,0,33,21,4,7,6,0,1,1,0,4,6,0,2,5,0.328530073166
apache1,158,4,109,57,0,59,35,0,17,15,0,33,20,3,6,6,0,1,1,0,1,4,0,4,5,0.302397966385
apache1,270,9,120,61,0,59,35,0,31,23,0,30,21,3,7,7,0,2,2,0,3,7,0,2,6,0.316954851151
apache1,160,3,110,57,0,59,35,0,17,14,0,34,20,2,9,7,0,3,3,0,1,4,0,5,6,0.342712879181
apache1,241,8,144,69,0,59,35,0,40,30,0,45,32,4,7,6,0,1,1,0,3,6,0,3,5,0.359575033188
apache1,267,9,120,61,0,59,35,0,33,23,0,28,20,8,12,9,0,2,2,0,5,7,0,5,8,0.46532201767
apache1,417,4,110,57,0,59,35,0,29,21,0,22,15,4,10,9,0,3,3,0,4,8,0,3,6,0.391180038452
apache1,76,5,92,51,0,59,35,0,20,16,0,13,13,3,6,8,0,2,2,0,3,5,0,1,6,0.283540010452
apache1,421,6,120,61,0,59,35,0,39,28,0,22,17,4,8,7,0,2,2,0,3,7,0,3,6,0.366080999374
apache1,290,4,110,57,0,59,35,0,22,16,0,29,19,3,7,7,0,2,2,0,3,7,0,2,6,0.358136892319
apache1,204,5,110,57,0,59,35,0,22,15,0,29,19,4,8,6,0,1,1,0,4,5,0,3,6,0.338214874268
apache1,287,6,110,57,0,59,35,0,21,15,0,30,20,2,7,6,0,1,1,0,4,5,0,2,4,0.344006061554
apache1,418,6,110,57,0,59,35,0,28,21,0,23,17,4,7,7,0,2,2,0,3,7,0,2,6,0.320923089981
apache1,344,6,109,57,0,59,35,0,16,15,0,34,21,5,9,8,0,1,1,0,3,7,0,5,5,0.40003490448
apache1,77,5,100,53,0,59,35,0,22,14,0,19,12,5,9,7,0,3,3,0,4,7,0,2,5,0.358911991119
apache1,384,7,110,57,0,59,35,0,30,22,0,21,14,4,6,6,0,1,1,0,2,5,0,3,6,0.315301179886
apache1,296,5,97,53,0,59,35,0,22,15,0,16,15,5,8,8,0,2,2,0,4,5,0,2,7,0.36962389946
apache1,350,4,124,61,0,59,35,0,42,30,0,23,16,2,8,6,0,2,2,0,2,4,0,4,5,0.388261079788
apache1,155,4,110,57,0,59,35,0,17,14,0,34,20,4,9,6,0,2,2,0,2,6,0,5,5,0.359594106674
apache1,338,8,120,61,0,59,35,0,27,20,0,34,23,6,9,8,0,1,1,0,5,8,0,3,5,0.390648126602
apache1,216,9,120,61,0,59,35,0,32,23,0,29,21,6,8,6,0,1,1,0,3,5,0,4,6,0.422314882278
apache1,352,4,110,57,0,59,35,0,27,20,0,24,15,4,8,6,0,1,1,0,3,6,0,4,5,0.335613965988
apache1,366,6,120,61,0,59,35,0,40,28,0,21,15,2,9,6,0,2,2,0,2,5,0,5,6,0.415104866028
apache1,304,6,110,57,0,59,35,0,22,16,0,29,20,5,11,9,0,3,3,0,4,7,0,4,8,0.430085897446
apache1,385,5,110,57,0,59,35,0,32,22,0,19,13,4,6,6,0,1,1,0,3,5,0,2,5,0.32533288002
apache1,214,7,120,61,0,59,35,0,33,23,0,28,18,5,9,7,0,2,2,0,3,7,0,4,6,0.38477396965
apache1,294,6,110,57,0,59,35,0,22,16,0,29,20,4,6,6,0,1,1,0,3,5,0,2,6,0.302734136581
apache1,369,8,124,61,0,59,35,0,45,31,0,20,15,4,11,7,0,3,3,0,4,7,0,4,6,0.429344892502
apache1,209,7,144,69,0,59,35,0,41,31,0,44,32,4,7,6,0,1,1,0,3,5,0,3,6,0.388339042664
apache1,85,3,100,53,0,59,35,0,22,14,0,19,12,2,7,6,0,2,2,0,3,4,0,2,4,0.338147878647
apache1,16,5,120,61,0,59,35,0,32,20,0,29,20,3,9,7,0,2,2,0,5,7,0,2,5,0.441748142242
apache1,148,5,120,61,0,59,35,0,20,19,0,41,28,5,9,6,0,2,2,0,3,6,0,4,6,0.385488033295
apache1,182,4,120,61,0,59,35,0,17,18,0,44,28,2,9,7,0,3,3,0,1,4,0,5,6,0.388143777847
apache1,363,4,120,61,0,59,35,0,42,28,0,19,15,2,7,6,0,1,1,0,3,6,0,3,6,0.38875079155
apache1,288,6,110,57,0,59,35,0,21,16,0,30,20,2,7,6,0,1,1,0,3,5,0,3,6,0.331531047821
apache1,51,4,102,55,0,59,35,0,32,21,0,11,13,2,7,8,0,1,1,0,4,5,0,2,7,0.34835100174
apache1,156,4,110,57,0,59,35,0,20,15,0,31,20,3,6,6,0,1,1,0,3,6,0,2,6,0.332471132278
apache1,383,5,110,57,0,59,35,0,30,21,0,21,14,4,6,6,0,1,1,0,3,5,0,2,5,0.307029008865
apache1,309,6,120,61,0,59,35,0,21,16,0,40,26,4,7,7,0,2,2,0,2,7,0,3,6,0.324088096619
apache1,419,4,110,57,0,59,35,0,30,22,0,21,16,4,10,9,0,3,3,0,5,9,0,2,6,0.386496782303
apache1,252,8,144,69,0,59,35,0,40,30,0,45,32,4,7,6,0,1,1,0,3,6,0,3,5,0.377718925476
apache1,297,7,110,57,0,59,35,0,21,16,0,30,20,4,9,8,0,2,2,0,2,5,0,5,8,0.370849132538
apache1,50,4,107,57,0,59,35,0,32,21,0,16,15,2,6,6,0,1,1,0,3,5,0,2,5,0.302827119827
apache1,75,5,97,53,0,59,35,0,20,16,0,18,15,3,6,6,0,2,2,0,3,5,0,1,4,0.284240961075
apache1,289,6,110,57,0,59,35,0,21,16,0,30,20,2,7,6,0,1,1,0,3,5,0,3,6,0.331228017807
apache1,114,6,120,61,0,59,35,0,19,19,0,42,29,4,8,6,0,2,2,0,3,6,0,3,5,0.395651102066
apache1,217,7,120,61,0,59,35,0,32,23,0,29,19,5,9,7,0,2,2,0,3,7,0,4,6,0.371009111404
apache1,426,4,109,57,0,59,35,0,29,22,0,21,13,3,7,6,0,2,2,0,1,4,0,4,5,0.381263971329
apache1,234,9,120,61,0,59,35,0,32,23,0,29,21,6,8,6,0,1,1,0,3,5,0,4,6,0.393630981445
apache1,423,4,109,57,0,59,35,0,29,22,0,21,13,3,7,6,0,2,2,0,1,4,0,4,5,0.366939067841
apache1,403,6,141,69,0,59,35,0,37,26,0,45,32,4,7,7,0,2,2,0,2,7,0,3,6,0.355884075165
apache1,364,8,120,61,0,59,35,0,41,28,0,20,15,4,11,7,0,3,3,0,4,7,0,4,6,0.469037055969
apache1,424,4,120,61,0,59,35,0,38,27,0,23,16,2,8,7,0,2,2,0,2,4,0,4,6,0.368569135666
apache1,159,4,104,55,0,59,35,0,12,13,0,33,20,3,7,8,0,1,1,0,1,6,0,5,5,0.316474914551
apache1,212,7,120,61,0,59,35,0,31,21,0,30,19,2,6,6,0,1,1,0,3,4,0,2,4,0.335554838181
apache1,393,6,110,57,0,59,35,0,22,16,0,29,20,5,11,9,0,3,3,0,4,7,0,4,8,0.440913915634
apache1,128,5,140,69,0,59,35,0,42,33,0,39,28,3,6,6,0,1,1,0,2,5,0,3,6,0.372269868851
apache1,269,7,120,61,0,59,35,0,32,22,0,29,19,4,7,6,0,1,1,0,2,5,0,4,6,0.35129404068
apache1,272,9,120,61,0,59,35,0,33,24,0,28,19,5,10,9,0,2,2,0,3,7,0,5,8,0.551356077194
apache1,52,3,120,61,0,59,35,0,30,19,0,31,20,2,8,6,0,1,1,0,5,5,0,2,4,0.32945394516
apache1,274,7,144,69,0,59,35,0,39,32,0,46,31,3,7,7,0,2,2,0,2,6,0,3,6,0.367176055908
apache1,71,4,124,61,0,59,35,0,19,14,0,46,29,4,10,7,0,3,3,0,3,7,0,4,6,0.393141031265
apache1,349,4,120,61,0,59,35,0,38,27,0,23,16,2,8,6,0,2,2,0,2,4,0,4,5,0.347301006317
apache1,70,4,110,57,0,59,35,0,20,15,0,31,20,3,10,7,0,3,3,0,4,7,0,3,6,0.431829214096
apache1,371,6,124,61,0,59,35,0,44,31,0,21,15,2,9,6,0,2,2,0,2,5,0,5,6,0.399860143661
apache1,301,8,110,57,0,59,35,0,22,17,0,29,20,3,11,9,0,3,3,0,3,7,0,5,8,0.397555828094
apache1,328,9,140,69,0,59,35,0,40,30,0,41,27,5,9,6,0,2,2,0,5,6,0,2,5,0.400306940079
apache1,343,7,120,61,0,59,35,0,26,20,0,35,23,4,7,7,0,2,2,0,2,7,0,3,6,0.332389831543
apache1,392,7,110,57,0,59,35,0,22,16,0,29,19,4,6,6,0,1,1,0,2,5,0,3,6,0.327574014664
apache1,286,5,110,57,0,59,35,0,21,15,0,30,19,4,7,6,0,1,1,0,3,5,0,3,5,0.365683078766
apache1,72,8,120,61,0,59,35,0,21,20,0,40,27,4,10,7,0,3,3,0,2,7,0,5,6,0.402611970901
apache1,391,4,110,57,0,59,35,0,22,16,0,29,19,3,7,7,0,2,2,0,3,7,0,2,6,0.330450057983
apache1,402,7,141,69,0,59,35,0,39,27,0,43,31,5,9,6,0,2,2,0,5,6,0,2,5,0.433359146118
apache1,291,7,110,57,0,59,35,0,22,16,0,29,19,4,6,6,0,1,1,0,2,5,0,3,6,0.312896966934
apache1,379,5,110,57,0,59,35,0,31,22,0,20,14,4,6,6,0,1,1,0,2,5,0,3,6,0.301489114761
apache1,248,6,120,61,0,59,35,0,28,20,0,33,22,6,8,6,0,1,1,0,4,6,0,3,5,0.36590719223
