# Options: --keepunused --dodsnsmt --runsmtanalysistype=binarysearch --smtmultithread=allthreads --smtcalcstats --flowsensitive --hazardsensitiveraw --toposortinput
# Format: Benchmark,Trace,Initial-CSs,Initial-Stmts,Initial-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,Init0-CSs,Init0-Stmts,Init0-Vars,Init1-CSs,Init1-Stmts,Init1-Vars,Init2-CSs,Init2-Stmts,Init2-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Time[s]
apache1,203,5,110,57,3,16,11,0,59,35,0,22,16,0,29,19,0,6,6,0,3,7,0,7,9,2.04781699181
apache1,304,6,110,57,5,16,11,0,59,35,0,22,16,0,29,20,0,6,6,0,4,8,0,6,9,2.49266600609
apache1,141,6,110,57,4,16,11,0,59,35,0,19,15,0,32,20,0,6,6,0,2,8,0,8,9,2.18425607681
apache1,346,6,120,61,6,17,11,0,59,35,0,27,19,0,34,22,0,6,6,0,5,9,0,6,9,2.48650789261
apache1,415,4,124,61,4,11,7,0,59,35,0,44,29,0,21,13,0,4,4,0,3,7,0,4,6,1.65921902657
apache1,109,4,110,57,4,11,7,0,59,35,0,17,13,0,34,21,0,4,4,0,3,7,0,4,6,1.70510292053
apache1,142,5,110,57,2,16,11,0,59,35,0,19,15,0,32,20,0,6,6,0,1,6,0,9,9,2.33080220222
apache1,110,4,110,57,4,11,7,0,59,35,0,17,13,0,34,21,0,4,4,0,3,7,0,4,6,1.51798796654
apache1,244,6,120,61,4,9,7,0,59,35,0,26,18,0,35,21,0,3,3,0,2,6,0,4,6,1.23549103737
apache1,49,7,120,61,5,11,7,0,59,35,0,31,21,0,30,21,0,4,4,0,5,7,0,2,6,1.62116122246
apache1,204,5,110,57,5,11,7,0,59,35,0,22,15,0,29,19,0,4,4,0,4,7,0,3,6,1.59375596046
apache1,425,4,120,61,4,11,7,0,59,35,0,40,26,0,21,13,0,4,4,0,3,7,0,4,6,1.76204109192
apache1,394,5,97,53,5,14,11,0,59,35,0,22,15,0,16,15,0,6,6,0,3,8,0,5,9,1.97422885895
apache1,330,8,140,69,4,11,7,0,59,35,0,37,28,0,44,32,0,4,4,0,3,7,0,4,6,1.70376491547
apache1,155,4,110,57,4,11,7,0,59,35,0,17,14,0,34,20,0,4,4,0,2,7,0,5,6,1.62955403328
apache1,292,7,110,57,5,16,11,0,59,35,0,22,16,0,29,19,0,6,6,0,3,8,0,7,9,2.28718805313
apache1,339,8,120,61,8,17,11,0,59,35,0,28,20,0,33,21,0,6,6,0,4,9,0,7,9,2.3591439724
apache1,52,3,120,61,3,12,7,0,59,35,0,30,19,0,31,20,0,4,4,0,6,7,0,2,5,1.65802598
apache1,335,8,140,69,4,11,7,0,59,35,0,37,28,0,44,32,0,4,4,0,3,7,0,4,6,1.64817500114
apache1,107,6,110,57,4,16,11,0,59,35,0,17,14,0,34,21,0,6,6,0,2,8,0,8,9,2.23645305634
apache1,414,4,124,61,2,9,7,0,59,35,0,42,30,0,23,16,0,3,3,0,1,4,0,5,6,1.27981495857
apache1,143,4,110,57,4,9,7,0,59,35,0,19,14,0,32,19,0,3,3,0,3,7,0,3,6,1.33654093742
apache1,384,7,110,57,7,11,7,0,59,35,0,30,22,0,21,14,0,4,4,0,4,7,0,3,6,1.49374103546
apache1,71,4,124,61,4,10,7,0,59,35,0,19,14,0,46,29,0,4,4,0,3,7,0,3,6,1.58773803711
apache1,411,4,109,57,4,10,7,0,59,35,0,29,22,0,21,13,0,4,4,0,2,7,0,4,6,1.45920705795
apache1,298,8,110,57,3,16,11,0,59,35,0,21,16,0,30,21,0,6,6,0,4,8,0,6,9,2.24837303162
apache1,422,4,120,61,4,11,7,0,59,35,0,40,26,0,21,13,0,4,4,0,3,7,0,4,6,1.67137408257
apache1,286,5,110,57,5,11,7,0,59,35,0,21,15,0,30,19,0,4,4,0,4,7,0,3,6,1.61135792732
apache1,418,6,110,57,4,11,7,0,59,35,0,28,21,0,23,17,0,4,4,0,5,7,0,2,6,1.54552698135
apache1,185,4,120,61,2,11,7,0,59,35,0,19,15,0,42,26,0,4,4,0,2,6,0,5,6,1.72616791725
apache1,77,5,100,53,5,10,7,0,59,35,0,22,14,0,19,12,0,4,4,0,4,7,0,2,6,1.54653596878
apache1,247,6,109,57,6,16,11,0,59,35,0,16,15,0,34,22,0,6,6,0,4,9,0,6,9,2.48989701271
apache1,234,9,120,61,7,12,7,0,59,35,0,32,23,0,29,21,0,4,4,0,4,7,0,4,6,1.74900197983
apache1,377,6,110,57,3,11,7,0,59,35,0,31,23,0,20,15,0,4,4,0,4,7,0,3,6,1.64105892181
apache1,206,4,120,61,4,11,7,0,59,35,0,21,19,0,40,28,0,4,4,0,5,6,0,2,6,1.70188498497
apache1,216,9,120,61,7,12,7,0,59,35,0,32,23,0,29,21,0,4,4,0,4,7,0,4,6,1.79454398155
apache1,423,4,109,57,4,10,7,0,59,35,0,29,22,0,21,13,0,4,4,0,2,7,0,4,6,1.51123404503
apache1,275,9,140,69,5,11,7,0,59,35,0,40,32,0,41,29,0,4,4,0,3,7,0,4,6,1.81104493141
