# Options: --keepunused --dodsnsmt --runsmtanalysistype=binarysearch --smtmultithread=allthreads --smtcalcstats --flowsensitive
# Format: Benchmark,Trace,Initial-CSs,Initial-Stmts,Initial-Vars,Init0-CSs,Init0-Stmts,Init0-Vars,Init1-CSs,Init1-Stmts,Init1-Vars,Init2-CSs,Init2-Stmts,Init2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Time[s]
apache1,235,10,120,61,0,59,35,0,27,19,0,34,23,4,16,11,0,6,6,0,5,9,0,5,9,0.639811992645
apache1,145,9,124,61,0,59,35,0,20,20,0,45,32,5,8,7,0,3,3,0,2,6,0,3,7,0.377967834473
apache1,233,10,120,61,0,59,35,0,32,23,0,29,19,4,16,11,0,6,6,0,4,9,0,6,8,0.73722910881
apache1,341,10,120,61,0,59,35,0,27,19,0,34,22,4,9,7,0,3,3,0,3,7,0,3,6,0.400089979172
apache1,217,8,120,61,0,59,35,0,32,23,0,29,19,4,11,7,0,4,4,0,3,6,0,4,7,0.496886014938
apache1,424,6,120,61,0,59,35,0,38,27,0,23,16,2,8,7,0,3,3,0,1,4,0,4,6,0.385133981705
apache1,386,6,120,61,0,59,35,0,21,16,0,40,25,4,9,7,0,3,3,0,2,7,0,4,6,0.425468921661
apache1,70,7,110,57,0,59,35,0,20,15,0,31,20,5,10,7,0,4,4,0,4,7,0,2,6,0.46847987175
apache1,352,6,110,57,0,59,35,0,27,20,0,24,15,4,9,7,0,3,3,0,2,7,0,4,6,0.398548841476
apache1,212,9,120,61,0,59,35,0,31,21,0,30,19,3,9,7,0,3,3,0,4,6,0,2,5,0.424230098724
apache1,268,10,120,61,0,59,35,0,32,23,0,29,19,4,9,7,0,3,3,0,2,7,0,4,6,0.442183017731
apache1,115,7,120,61,0,59,35,0,19,20,0,42,30,5,9,7,0,3,3,0,2,6,0,4,7,0.403123140335
apache1,308,7,124,61,0,59,35,0,21,20,0,44,31,5,8,7,0,3,3,0,2,6,0,3,7,0.388295888901
apache1,330,12,140,69,0,59,35,0,37,28,0,44,32,4,8,7,0,3,3,0,2,7,0,3,6,0.426111936569
apache1,116,7,124,61,0,59,35,0,19,20,0,46,33,5,9,7,0,3,3,0,2,6,0,4,7,0.418920993805
apache1,370,4,124,61,0,59,35,0,44,30,0,21,15,2,9,7,0,3,3,0,2,6,0,4,6,0.416710853577
apache1,412,6,120,61,0,59,35,0,38,27,0,23,16,2,8,7,0,3,3,0,1,4,0,4,6,0.375700950623
apache1,307,9,110,57,0,59,35,0,22,17,0,29,20,3,15,11,0,6,6,0,3,8,0,6,9,0.655130147934
apache1,332,9,144,69,0,59,35,0,40,30,0,45,30,5,9,7,0,3,3,0,4,7,0,2,6,0.46281504631
apache1,234,10,120,61,0,59,35,0,32,23,0,29,21,6,12,7,0,4,4,0,4,6,0,4,7,0.589398860931
apache1,239,10,140,69,0,59,35,0,36,27,0,45,32,4,9,7,0,3,3,0,3,7,0,3,6,0.410937070847
apache1,204,5,110,57,0,59,35,0,22,15,0,29,19,5,9,7,0,3,3,0,4,7,0,2,6,0.405781984329
apache1,187,6,100,53,0,59,35,0,17,12,0,24,14,4,9,7,0,3,3,0,2,6,0,4,6,0.450258016586
apache1,378,5,110,57,0,59,35,0,30,20,0,21,14,3,9,7,0,3,3,0,3,6,0,3,6,0.427128076553
apache1,289,9,110,57,0,59,35,0,21,16,0,30,20,3,9,7,0,3,3,0,4,7,0,2,6,0.475005149841
apache1,249,10,120,61,0,59,35,0,28,20,0,33,23,4,11,7,0,4,4,0,4,7,0,3,6,0.5344851017
apache1,49,7,120,61,0,59,35,0,31,21,0,30,21,5,9,7,0,3,3,0,4,7,0,2,6,0.485846042633
apache1,287,7,110,57,0,59,35,0,21,15,0,30,20,3,9,7,0,3,3,0,5,7,0,1,4,0.400158166885
apache1,220,11,141,69,0,59,35,0,38,28,0,44,34,3,12,7,0,4,4,0,5,7,0,3,5,0.541977882385
apache1,110,8,110,57,0,59,35,0,17,13,0,34,21,4,8,7,0,3,3,0,2,7,0,3,6,0.375642061234
apache1,304,7,110,57,0,59,35,0,22,16,0,29,20,5,15,11,0,6,6,0,4,8,0,5,9,0.692951917648
apache1,271,6,107,57,0,59,35,0,33,22,0,15,14,6,14,11,0,6,6,0,4,10,0,4,8,0.588386058807
apache1,218,8,141,69,0,59,35,0,40,30,0,42,30,4,9,7,0,3,3,0,3,7,0,3,6,0.435039043427
apache1,298,9,110,57,0,59,35,0,21,16,0,30,21,3,16,11,0,6,6,0,4,8,0,6,9,0.775974988937
apache1,418,10,110,57,0,59,35,0,28,21,0,23,17,4,8,7,0,3,3,0,3,7,0,2,6,0.448328018188
apache1,182,6,120,61,0,59,35,0,17,18,0,44,28,2,10,7,0,4,4,0,1,5,0,5,6,0.537925958633
apache1,112,4,124,61,0,59,35,0,17,14,0,48,31,4,9,7,0,3,3,0,3,7,0,3,6,0.434828042984
apache1,414,6,124,61,0,59,35,0,42,30,0,23,16,2,8,7,0,3,3,0,1,4,0,4,6,0.446533918381
apache1,17,6,120,61,0,59,35,0,27,19,0,34,22,4,12,7,0,4,4,0,4,7,0,4,6,0.615333080292
apache1,157,8,120,61,0,59,35,0,28,19,0,33,21,4,11,7,0,4,4,0,3,7,0,4,6,0.535290002823
apache1,383,7,110,57,0,59,35,0,30,21,0,21,14,5,9,7,0,3,3,0,4,7,0,2,6,0.426864862442
apache1,392,7,110,57,0,59,35,0,22,16,0,29,19,5,9,7,0,3,3,0,3,7,0,3,6,0.388493061066
apache1,267,11,120,61,0,59,35,0,33,23,0,28,20,5,9,7,0,3,3,0,3,7,0,3,6,0.456944942474
apache1,272,10,120,61,0,59,35,0,33,24,0,28,19,4,15,11,0,6,6,0,4,9,0,5,9,0.882081985474
apache1,399,9,137,69,0,59,35,0,38,29,0,40,28,3,9,7,0,3,3,0,3,7,0,3,6,0.424804925919
apache1,223,7,137,69,0,59,35,0,38,26,0,40,29,3,12,7,0,4,4,0,6,7,0,2,5,0.498929023743
apache1,402,9,141,69,0,59,35,0,39,27,0,43,31,5,9,7,0,3,3,0,4,7,0,2,6,0.430475950241
apache1,244,8,120,61,0,59,35,0,26,18,0,35,21,4,9,7,0,3,3,0,2,6,0,4,6,0.46781206131
apache1,309,6,120,61,0,59,35,0,21,16,0,40,26,4,8,7,0,3,3,0,2,7,0,3,6,0.395003080368
apache1,407,4,99,53,0,59,35,0,18,17,0,22,14,4,14,11,0,6,6,0,5,10,0,3,6,0.653586864471
apache1,293,10,110,57,0,59,35,0,22,16,0,29,20,4,9,7,0,3,3,0,4,6,0,2,7,0.414998054504
apache1,270,11,120,61,0,59,35,0,31,23,0,30,21,3,8,7,0,3,3,0,3,7,0,2,6,0.363372802734
apache1,283,4,124,61,0,59,35,0,21,16,0,44,29,4,9,7,0,3,3,0,3,7,0,3,6,0.444792985916
apache1,141,7,110,57,0,59,35,0,19,15,0,32,20,5,16,11,0,6,6,0,2,7,0,8,10,0.805963993073
apache1,83,5,97,53,0,59,35,0,20,14,0,18,15,3,10,7,0,4,4,0,3,6,0,3,6,0.466944932938
apache1,252,10,144,69,0,59,35,0,40,30,0,45,32,4,9,7,0,3,3,0,3,7,0,3,6,0.443175077438
apache1,362,3,120,61,0,59,35,0,42,28,0,19,14,3,9,7,0,3,3,0,3,6,0,3,6,0.444952964783
apache1,273,7,120,61,0,59,35,0,33,22,0,28,18,7,15,11,0,6,6,0,5,10,0,4,8,0.648925065994
apache1,299,9,110,57,0,59,35,0,22,16,0,29,20,3,16,11,0,6,6,0,4,8,0,6,9,0.705588102341
apache1,206,6,120,61,0,59,35,0,21,19,0,40,28,2,9,7,0,3,3,0,5,6,0,1,4,0.393586874008
apache1,142,6,110,57,0,59,35,0,19,15,0,32,20,2,15,11,0,6,6,0,1,6,0,8,9,0.618505954742
apache1,221,6,137,69,0,59,35,0,40,28,0,38,26,4,9,7,0,3,3,0,3,7,0,3,6,0.420917987823
apache1,216,10,120,61,0,59,35,0,32,23,0,29,21,6,12,7,0,4,4,0,4,6,0,4,7,0.513576984406
apache1,343,12,120,61,0,59,35,0,26,20,0,35,23,4,8,7,0,3,3,0,2,7,0,3,6,0.402435064316
apache1,52,5,120,61,0,59,35,0,30,19,0,31,20,3,12,7,0,4,4,0,6,7,0,2,5,0.500995874405
apache1,109,4,110,57,0,59,35,0,17,13,0,34,21,4,9,7,0,3,3,0,3,7,0,3,6,0.410280227661
apache1,186,8,100,53,0,59,35,0,17,12,0,24,14,4,8,7,0,3,3,0,2,7,0,3,6,0.38787984848
apache1,347,12,144,69,0,59,35,0,41,31,0,44,32,4,8,7,0,3,3,0,2,7,0,3,6,0.39963388443
