# Options: --keepunused --dodsnsmt --runsmtanalysistype=binarysearch --smtmultithread=abstractenv --smtcalcstats --flowsensitive --hazardsensitiveall --toposortinput
# Format: Benchmark,Trace,Initial-CSs,Initial-Stmts,Initial-Vars,Init0-CSs,Init0-Stmts,Init0-Vars,Init1-CSs,Init1-Stmts,Init1-Vars,Init2-CSs,Init2-Stmts,Init2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Time[s]
apache1,426,4,109,57,0,59,35,0,29,22,0,21,13,4,18,8,0,8,4,0,4,7,0,6,5,4,18,8,0,8,4,0,4,7,0,6,6,4,18,8,0,8,4,0,4,8,0,6,5,3.60009288788
apache1,236,6,120,61,0,59,35,0,28,20,0,33,22,6,27,13,0,10,6,0,8,9,0,9,9,6,31,14,0,11,6,0,8,10,0,12,11,6,31,14,0,11,6,0,8,10,0,12,10,8.38707590103
apache1,273,7,120,61,0,59,35,0,33,22,0,28,18,7,30,14,0,10,6,0,12,12,0,8,8,7,34,15,0,11,6,0,15,13,0,8,9,7,32,14,0,11,6,0,13,13,0,8,8,11.0404748917
apache1,299,6,110,57,0,59,35,0,22,16,0,29,20,5,26,13,0,8,5,0,7,8,0,11,11,5,28,13,0,10,6,0,7,8,0,11,11,5,29,13,0,11,6,0,7,9,0,11,11,6.87407302856
apache1,205,3,124,61,0,59,35,0,21,15,0,44,29,2,10,7,0,2,1,0,4,5,0,4,5,3,16,8,0,6,3,0,6,7,0,4,6,2,12,7,0,4,2,0,4,5,0,4,5,2.62848091125
apache1,235,6,120,61,0,59,35,0,27,19,0,34,23,6,29,14,0,10,6,0,8,8,0,11,11,6,33,15,0,11,6,0,8,9,0,14,13,6,33,15,0,11,6,0,8,9,0,14,12,9.81554508209
apache1,390,7,110,57,0,59,35,0,21,16,0,30,19,5,15,8,0,4,2,0,4,7,0,7,7,5,17,8,0,6,3,0,4,7,0,7,7,5,19,8,0,8,4,0,4,7,0,7,7,3.31249809265
apache1,368,4,124,61,0,59,35,0,46,31,0,19,15,4,14,8,0,4,2,0,6,8,0,4,7,4,20,9,0,8,4,0,8,9,0,4,7,4,20,9,0,8,4,0,8,9,0,4,7,3.69021105766
apache1,128,5,140,69,0,59,35,0,42,33,0,39,28,3,9,6,0,2,1,0,3,5,0,4,6,3,15,7,0,6,3,0,4,6,0,5,7,3,15,7,0,6,3,0,4,6,0,5,7,2.73635792732
apache1,289,6,110,57,0,59,35,0,21,16,0,30,20,3,15,8,0,4,2,0,5,7,0,6,7,3,17,8,0,6,3,0,5,7,0,6,7,3,19,8,0,8,4,0,5,7,0,6,7,3.35874795914
