# Options: --keepunused --dodsnsmt --runsmtanalysistype=binarysearch --smtmultithread=allthreads --smtcalcstats
# Format: Benchmark,Trace,Initial-CSs,Initial-Stmts,Initial-Vars,Init0-CSs,Init0-Stmts,Init0-Vars,Init1-CSs,Init1-Stmts,Init1-Vars,Init2-CSs,Init2-Stmts,Init2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Time[s]
apache1,235,10,120,61,0,59,35,0,27,19,0,34,23,4,8,8,0,1,1,0,5,8,0,2,5,0.343960046768
apache1,145,9,124,61,0,59,35,0,20,20,0,45,32,5,7,7,0,2,2,0,2,6,0,3,7,0.315176963806
apache1,233,10,120,61,0,59,35,0,32,23,0,29,19,3,8,8,0,1,1,0,1,4,0,6,8,0.343508005142
apache1,341,10,120,61,0,59,35,0,27,19,0,34,22,4,6,6,0,1,1,0,3,6,0,2,5,0.286343097687
apache1,217,8,120,61,0,59,35,0,32,23,0,29,19,4,9,7,0,2,2,0,3,6,0,4,7,0.320392131805
apache1,424,6,120,61,0,59,35,0,38,27,0,23,16,2,7,7,0,2,2,0,1,3,0,4,6,0.287744998932
apache1,386,6,120,61,0,59,35,0,21,16,0,40,25,3,6,6,0,1,1,0,1,5,0,4,6,0.312870025635
apache1,70,7,110,57,0,59,35,0,20,15,0,31,20,5,9,7,0,3,3,0,4,7,0,2,6,0.431380033493
apache1,352,6,110,57,0,59,35,0,27,20,0,24,15,4,6,6,0,1,1,0,2,6,0,3,5,0.28307390213
apache1,212,9,120,61,0,59,35,0,31,21,0,30,19,2,6,6,0,1,1,0,3,4,0,2,4,0.326997995377
apache1,268,10,120,61,0,59,35,0,32,23,0,29,19,3,6,6,0,1,1,0,1,5,0,4,6,0.270337104797
apache1,115,7,120,61,0,59,35,0,19,20,0,42,30,4,6,6,0,1,1,0,2,5,0,3,5,0.294301986694
apache1,308,7,124,61,0,59,35,0,21,20,0,44,31,5,7,7,0,2,2,0,2,6,0,3,7,0.333464860916
apache1,330,12,140,69,0,59,35,0,37,28,0,44,32,4,7,7,0,2,2,0,2,6,0,3,6,0.307926177979
apache1,116,7,124,61,0,59,35,0,19,20,0,46,33,4,6,6,0,1,1,0,2,5,0,3,5,0.299562931061
apache1,370,4,124,61,0,59,35,0,44,30,0,21,15,2,6,6,0,1,1,0,1,5,0,4,6,0.288749933243
apache1,412,6,120,61,0,59,35,0,38,27,0,23,16,2,7,7,0,2,2,0,1,3,0,4,6,0.300102949142
apache1,307,9,110,57,0,59,35,0,22,17,0,29,20,3,9,9,0,2,2,0,3,7,0,4,8,0.34799695015
apache1,332,9,144,69,0,59,35,0,40,30,0,45,30,3,6,6,0,1,1,0,4,6,0,1,5,0.302010059357
apache1,234,10,120,61,0,59,35,0,32,23,0,29,21,6,8,6,0,1,1,0,3,5,0,4,6,0.34202504158
apache1,239,10,140,69,0,59,35,0,36,27,0,45,32,2,6,6,0,1,1,0,3,6,0,2,4,0.305700778961
apache1,204,5,110,57,0,59,35,0,22,15,0,29,19,4,6,6,0,1,1,0,3,5,0,2,6,0.272715806961
apache1,187,6,100,53,0,59,35,0,17,12,0,24,14,2,6,6,0,1,1,0,2,4,0,3,4,0.26277089119
apache1,378,5,110,57,0,59,35,0,30,20,0,21,14,3,6,6,0,1,1,0,2,5,0,3,6,0.293998003006
apache1,289,9,110,57,0,59,35,0,21,16,0,30,20,2,6,6,0,1,1,0,3,5,0,2,6,0.318508863449
apache1,249,10,120,61,0,59,35,0,28,20,0,33,23,4,9,7,0,2,2,0,4,7,0,3,6,0.34160900116
apache1,49,7,120,61,0,59,35,0,31,21,0,30,21,4,6,6,0,1,1,0,3,5,0,2,5,0.297158002853
