# Options: --keepunused --dodsnsmt --runsmtanalysistype=binarysearch --smtmultithread=allthreads --smtcalcstats --flowsensitive --hazardsensitivewar --toposortinput
# Format: Benchmark,Trace,Initial-CSs,Initial-Stmts,Initial-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,Init0-CSs,Init0-Stmts,Init0-Vars,Init1-CSs,Init1-Stmts,Init1-Vars,Init2-CSs,Init2-Stmts,Init2-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Time[s]
apache1,203,5,110,57,5,19,14,0,59,35,0,22,16,0,29,19,0,6,6,0,4,9,0,9,12,2.58683991432
apache1,304,6,110,57,5,17,13,0,59,35,0,22,16,0,29,20,0,6,6,0,5,9,0,6,11,2.48024511337
apache1,141,6,110,57,6,18,13,0,59,35,0,19,15,0,32,20,0,6,6,0,3,9,0,9,11,2.72115397453
apache1,346,6,120,61,6,16,13,0,59,35,0,27,19,0,34,22,0,6,6,0,4,9,0,6,11,2.30891489983
apache1,415,4,124,61,4,13,9,0,59,35,0,44,29,0,21,13,0,4,4,0,5,9,0,4,6,1.88800883293
apache1,109,4,110,57,4,10,8,0,59,35,0,17,13,0,34,21,0,3,3,0,3,7,0,4,7,1.39006996155
apache1,142,5,110,57,4,17,13,0,59,35,0,19,15,0,32,20,0,6,6,0,2,8,0,9,11,2.60326218605
apache1,110,4,110,57,4,8,7,0,59,35,0,17,13,0,34,21,0,3,3,0,2,7,0,3,6,1.13305187225
apache1,244,6,120,61,4,10,8,0,59,35,0,26,18,0,35,21,0,3,3,0,3,7,0,4,6,1.36709690094
apache1,49,7,120,61,5,10,8,0,59,35,0,31,21,0,30,21,0,3,3,0,5,8,0,2,6,1.6539311409
apache1,204,5,110,57,5,10,8,0,59,35,0,22,15,0,29,19,0,3,3,0,4,7,0,3,7,1.4284081459
apache1,425,4,120,61,4,13,9,0,59,35,0,40,26,0,21,13,0,4,4,0,5,9,0,4,6,1.89586305618
apache1,394,5,97,53,5,16,13,0,59,35,0,22,15,0,16,15,0,6,6,0,4,9,0,6,10,2.21673893929
apache1,330,8,140,69,4,8,7,0,59,35,0,37,28,0,44,32,0,3,3,0,2,7,0,3,6,1.14787888527
apache1,155,4,110,57,4,12,9,0,59,35,0,17,14,0,34,20,0,4,4,0,2,7,0,6,8,1.67469596863
apache1,292,7,110,57,7,10,8,0,59,35,0,22,16,0,29,19,0,3,3,0,4,8,0,3,6,1.47548985481
apache1,339,8,120,61,4,10,8,0,59,35,0,28,20,0,33,21,0,3,3,0,3,8,0,4,6,1.64377212524
apache1,52,3,120,61,3,14,10,0,59,35,0,30,19,0,31,20,0,4,4,0,7,9,0,3,6,2.03224301338
apache1,335,8,140,69,4,8,7,0,59,35,0,37,28,0,44,32,0,3,3,0,2,7,0,3,6,1.15448498726
apache1,107,6,110,57,6,18,13,0,59,35,0,17,14,0,34,21,0,6,6,0,3,9,0,9,11,2.60049510002
apache1,414,4,124,61,2,8,7,0,59,35,0,42,30,0,23,16,0,3,3,0,1,4,0,4,6,1.19904112816
apache1,143,4,110,57,4,10,8,0,59,35,0,19,14,0,32,19,0,3,3,0,4,8,0,3,6,1.32154893875
apache1,384,7,110,57,5,10,8,0,59,35,0,30,22,0,21,14,0,3,3,0,4,8,0,3,6,1.58591914177
apache1,71,4,124,61,4,11,9,0,59,35,0,19,14,0,46,29,0,4,4,0,3,7,0,4,8,1.70388102531
apache1,411,4,109,57,4,11,8,0,59,35,0,29,22,0,21,13,0,4,4,0,3,8,0,4,6,1.54942417145
apache1,298,8,110,57,7,19,14,0,59,35,0,21,16,0,30,21,0,6,6,0,5,9,0,8,12,2.56813216209
apache1,422,4,120,61,4,13,9,0,59,35,0,40,26,0,21,13,0,4,4,0,5,9,0,4,6,1.86211800575
apache1,286,5,110,57,5,10,8,0,59,35,0,21,15,0,30,19,0,3,3,0,5,8,0,2,6,1.59363484383
apache1,418,6,110,57,4,8,7,0,59,35,0,28,21,0,23,17,0,3,3,0,3,7,0,2,6,1.1425151825
apache1,185,4,120,61,2,10,8,0,59,35,0,19,15,0,42,26,0,3,3,0,2,6,0,5,7,1.55692195892
apache1,77,5,100,53,3,8,7,0,59,35,0,22,14,0,19,12,0,3,3,0,3,6,0,2,6,1.0838739872
apache1,247,6,109,57,6,12,9,0,59,35,0,16,15,0,34,22,0,4,4,0,3,7,0,5,8,1.76439118385
apache1,234,9,120,61,7,15,11,0,59,35,0,32,23,0,29,21,0,4,4,0,6,10,0,5,7,2.16945695877
apache1,377,6,110,57,3,8,7,0,59,35,0,31,23,0,20,15,0,3,3,0,3,7,0,2,6,1.12208485603
apache1,206,4,120,61,4,10,8,0,59,35,0,21,19,0,40,28,0,3,3,0,5,6,0,2,7,1.40624690056
