# Options: --keepunused --dodsnsmt --runsmtanalysistype=binarysearch --smtmultithread=abstractenv --smtcalcstats --flowsensitive --hazardsensitiveall
# Format: Benchmark,Trace,Initial-CSs,Initial-Stmts,Initial-Vars,Init0-CSs,Init0-Stmts,Init0-Vars,Init1-CSs,Init1-Stmts,Init1-Vars,Init2-CSs,Init2-Stmts,Init2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Time[s]
apache1,426,3,109,57,0,59,35,0,29,22,0,21,13,3,18,8,0,8,4,0,4,6,0,6,5,3,18,8,0,8,4,0,4,6,0,6,6,3,18,8,0,8,4,0,4,7,0,6,5,3.82346391678
apache1,236,8,120,61,0,59,35,0,28,20,0,33,22,8,30,15,0,10,6,0,9,10,0,11,10,8,32,15,0,11,6,0,9,11,0,12,11,8,34,16,0,11,6,0,9,11,0,14,11,10.0744729042
apache1,273,7,120,61,0,59,35,0,33,22,0,28,18,7,30,14,0,10,6,0,13,13,0,7,8,7,34,15,0,11,6,0,16,14,0,7,8,7,31,14,0,11,6,0,13,13,0,7,8,9.97673010826
apache1,299,9,110,57,0,59,35,0,22,16,0,29,20,5,24,13,0,8,5,0,6,8,0,10,10,5,26,13,0,10,6,0,6,8,0,10,10,5,27,13,0,11,6,0,6,9,0,10,10,6.60544085503
apache1,205,5,124,61,0,59,35,0,21,15,0,44,29,2,10,7,0,2,1,0,4,5,0,4,5,3,16,8,0,6,3,0,6,7,0,4,6,2,12,7,0,4,2,0,4,5,0,4,5,2.64963889122
apache1,235,10,120,61,0,59,35,0,27,19,0,34,23,8,31,15,0,10,6,0,8,8,0,13,12,8,33,15,0,11,6,0,8,9,0,14,13,8,35,16,0,11,6,0,8,9,0,16,13,11.390332222
apache1,390,8,110,57,0,59,35,0,21,16,0,30,19,6,15,8,0,4,2,0,4,6,0,7,7,6,17,8,0,6,3,0,4,6,0,7,8,6,19,8,0,8,4,0,4,6,0,7,8,3.40055203438
apache1,368,4,124,61,0,59,35,0,46,31,0,19,15,4,14,8,0,4,2,0,6,8,0,4,7,4,20,9,0,8,4,0,8,9,0,4,7,4,20,9,0,8,4,0,8,9,0,4,7,3.91724491119
apache1,128,5,140,69,0,59,35,0,42,33,0,39,28,3,9,6,0,2,1,0,3,5,0,4,6,3,15,7,0,6,3,0,4,6,0,5,7,3,15,7,0,6,3,0,4,6,0,5,7,2.812748909
apache1,289,9,110,57,0,59,35,0,21,16,0,30,20,3,15,8,0,4,2,0,5,7,0,6,7,3,17,8,0,6,3,0,5,7,0,6,7,3,19,8,0,8,4,0,5,7,0,6,7,3.48227310181
apache1,328,9,140,69,0,59,35,0,40,30,0,41,27,3,9,6,0,2,1,0,6,6,0,1,5,5,15,7,0,6,3,0,6,7,0,3,6,5,15,7,0,6,3,0,6,7,0,3,6,3.12960600853
apache1,245,8,120,61,0,59,35,0,28,19,0,33,22,8,31,15,0,10,6,0,8,8,0,13,12,8,33,15,0,11,6,0,8,9,0,14,13,8,35,16,0,11,6,0,8,9,0,16,13,11.4581429958
apache1,267,11,120,61,0,59,35,0,33,23,0,28,20,11,32,16,0,10,6,0,14,13,0,8,9,11,36,17,0,11,6,0,17,14,0,8,9,11,34,16,0,11,6,0,15,14,0,8,9,11.4670379162
apache1,51,5,102,55,0,59,35,0,32,21,0,11,13,3,20,13,0,6,4,0,10,10,0,4,9,3,25,13,0,11,6,0,10,10,0,4,9,5,27,13,0,11,6,0,11,11,0,5,9,6.27571797371
